"id","requested_by_user_id","confirmed_by_user_id","status_id","requested_at","confirmed_at"
1,37,52,3,"1658146519000","1684864382000"
2,25,70,1,"1648665497000","1663522563000"
3,23,71,2,"1646957879000","1654695994000"
4,26,88,2,"1641011633000","1680709561000"
5,25,55,3,"1651897647000","1700593645000"
6,6,75,1,"1663593056000","1672436004000"
7,7,69,5,"1664155258000","1665440026000"
8,6,96,3,"1654386552000","1672897362000"
9,42,52,4,"1666076644000","1675760946000"
10,34,58,4,"1668807256000","1664502119000"
11,28,73,3,"1664372940000","1685774857000"
12,31,100,5,"1664400378000","1654597699000"
13,3,60,4,"1652567577000","1694304019000"
14,6,99,1,"1656842569000","1663141358000"
15,15,88,4,"1653760132000","1643308576000"
16,44,65,3,"1666917950000","1700918830000"
17,4,70,5,"1669536389000","1696956528000"
18,20,81,3,"1640826736000","1666534642000"
19,49,67,1,"1641898256000","1697416050000"
20,43,88,3,"1664794389000","1698547822000"
21,18,64,4,"1665153530000","1688070201000"
22,27,81,5,"1659479099000","1642320222000"
23,8,99,1,"1667395628000","1645852573000"
24,42,88,4,"1662041389000","1674561044000"
25,42,78,4,"1652200610000","1657961608000"
26,27,93,2,"1655552975000","1642021391000"
27,11,98,3,"1647516258000","1700945677000"
28,26,90,2,"1643533419000","1684386286000"
29,41,68,1,"1645145503000","1695410951000"
30,6,85,4,"1654596007000","1670768831000"
31,18,52,5,"1646535109000","1647065205000"
32,15,92,2,"1660721177000","1654403223000"
33,25,59,4,"1667138547000","1672256670000"
34,23,57,4,"1664748888000","1669900460000"
35,13,95,4,"1669869178000","1655169401000"
36,35,83,3,"1644169360000","1657808348000"
37,2,66,2,"1648001092000","1674100259000"
38,9,76,2,"1652018646000","1659697225000"
39,46,54,3,"1644558222000","1678646635000"
40,15,69,3,"1657537443000","1691139415000"
41,43,89,4,"1650781153000","1645393746000"
42,40,56,1,"1653817573000","1699741199000"
43,39,62,3,"1664731112000","1643085240000"
44,24,86,4,"1646395977000","1676611642000"
45,11,72,3,"1639575258000","1651212926000"
46,12,91,1,"1670110882000","1666776326000"
47,41,53,1,"1660835630000","1694062759000"
48,30,85,3,"1648162178000","1694244271000"
49,40,59,3,"1643511754000","1683310840000"
50,2,53,3,"1640681967000","1701525138000"
51,17,56,4,"1653502539000","1684591623000"
52,20,98,4,"1646947184000","1690471322000"
53,24,89,4,"1668417741000","1679341765000"
54,45,93,1,"1659041004000","1698691762000"
55,23,84,2,"1648047065000","1650796521000"
56,17,99,4,"1662371363000","1659106272000"
57,33,72,4,"1639062402000","1687100992000"
58,46,75,1,"1667869520000","1697553938000"
59,11,100,4,"1652571113000","1697974017000"
60,24,87,2,"1663920100000","1654269406000"
61,8,72,2,"1654034108000","1656152918000"
62,25,60,2,"1665058053000","1650656199000"
63,23,89,3,"1648621855000","1656623985000"
64,42,63,4,"1646242636000","1654670256000"
65,45,83,4,"1669285733000","1658243783000"
66,2,61,1,"1652855068000","1666554444000"
67,39,61,4,"1650446264000","1646416054000"
68,45,95,4,"1667078228000","1678168844000"
69,20,74,1,"1652778552000","1700426058000"
70,4,76,2,"1658770867000","1663085517000"
71,14,79,1,"1647141721000","1641211374000"
72,9,96,5,"1649799247000","1640340041000"
73,45,60,3,"1662746323000","1677302050000"
74,44,66,5,"1656420897000","1681868577000"
75,38,76,2,"1651958991000","1669828269000"
76,14,54,2,"1660898665000","1662574109000"
77,36,78,5,"1642386278000","1693481712000"
78,27,99,5,"1660539760000","1661545387000"
79,6,52,4,"1643119726000","1667828437000"
80,41,97,3,"1643479359000","1675215971000"
81,28,87,3,"1662780909000","1639720396000"
82,33,72,3,"1646690685000","1674729996000"
83,6,100,4,"1639082899000","1652550402000"
84,7,94,1,"1654399508000","1666960510000"
85,18,94,4,"1652184825000","1681633781000"
86,23,77,2,"1654321326000","1667752660000"
87,37,79,3,"1646387542000","1646482265000"
88,25,52,5,"1650334791000","1659843235000"
89,37,86,1,"1651524053000","1678160252000"
90,4,61,3,"1643342222000","1670401908000"
91,19,75,4,"1652747430000","1667907674000"
92,20,62,4,"1656509249000","1694489065000"
93,25,72,5,"1640166119000","1681505906000"
94,38,52,3,"1653688528000","1666417086000"
95,21,79,2,"1670052417000","1682471436000"
96,38,89,4,"1643873537000","1661594211000"
97,5,52,4,"1641658049000","1654072400000"
98,50,56,4,"1652782984000","1659083268000"
99,39,56,2,"1652664564000","1648913743000"
100,38,83,3,"1662142718000","1647180461000"
